_id,Pipeline Status,Application Number,Date Received,Description,Address,Ward,Proposed Residential Gross Floor Area,Proposed Non-Residential Gross Floor Area,Proposed Gross Floor Area,Proposed Residential Units,Application Information Centre Link
460,Built,20 157659 NNY 16 SA,2020-06-18,"To construct a new one-storey commercial building with a gross floor area of 261.64 square metres that will have a drive through facility, loading space, and enclosed garbage area. The building is proposed to front onto Lawrence Avenue East, immediately",1448 LAWRENCE AVE E,16,0,261.64,261.64,0,http://app.toronto.ca/AIC/index.do?folderRsn=5WhokDaZchAkqXHsvFABYw%3D%3D
461,Built,11 330266 WET 12 OZ,2011-12-22,Proposal to construct   apartment building.,1465 LAWRENCE AVE W,5,17386,0,17386,216,
462,Under Review,22 194723 ESC 21 SA,2022-08-23,Site Plan application for Block B - South (Block 3 of related Draft Plan) to permit two (2) mixed-use buildings (37 and 48 storeys) and two (2) residential buildings (30 and 48 storeys). This application is related to Zoning By-law Amendment application,1940 EGLINTON AVE E,21,57136.8,3984,61120.8,863,http://app.toronto.ca/AIC/index.do?folderRsn=xp4EoL9UD3abuJhJ7jPE6A%3D%3D
463,Active,11 271603 NNY 15 OZ,2011-09-09,"Applications to amend the Official Plan and the Zoning By-law to permit 16 four-storey townhouse units, in two blocks of 8 units, with parking provided behind the units at the lowest level and  accessed through a common element driveway from Winona Drive",464 WINONA DR,12,2670,0,2670,16,
464,Under Review,22 166320 STE 09 OZ,2022-06-22,The proposal contemplates the development of the subject site with a mixed-use building consisting of retail and residential uses central to the property and allowing sufficient land to be conveyed for the Gunns Road extension as well as new parkland. Th,126 UNION ST,9,41306,962,42268,588,http://app.toronto.ca/AIC/index.do?folderRsn=6xNY%2FDS75dk%2F6HlpHKtC3w%3D%3D
465,Under Review,22 200231 NNY 16 OZ,2022-09-06,"Proposal for a development of five new residential and mixed-use buildings with heights ranging from 13- to 49-storeys containing a total of 1,846 dwelling units and a new 2,734 square metre (0.27 hectare) public park. The proposed development contains a",1075 LESLIE ST,16,133331,565,133896,1846,http://app.toronto.ca/AIC/index.do?folderRsn=4pvYB755PfBnO%2FUbbm8R5A%3D%3D
466,Under Review,22 201247 ESC 20 OZ,2022-09-08,"The proposed development consists of a 35-storey tower with a 6-storey mixed-use podium including retail use at grade, three (3) floors of office uses and 362 residential units.",2425 EGLINTON AVE E,20,23090.9,5662.4,28753.3,362,http://app.toronto.ca/AIC/index.do?folderRsn=a5sUBv6dcpYk%2FtuhJXXsOQ%3D%3D
467,Built,13 253075 WET 06 OZ,2013-10-18,"Proposed amendments to the Official Plan and Zoning By-laws to permit a total of 499 residential units within a 29-storey (93 m, including mechanical penthouse) apartment building with a 5-storey (13.5 m) podium and a mid-rise building stepping upto 12-s",251 MANITOBA ST,3,34043,0,34043,498,http://app.toronto.ca/AIC/index.do?folderRsn=j24sQBEG8aKOlR7p%2FovmUg%3D%3D
468,Built,15 177458 WET 03 OZ,2015-06-19,The previous application proposed amendments to the Etobicoke Zoning Code to permit the development of a residential project consisting of 53 units.,19 GLEN AGAR DR,2,20164,0,20164,53,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3772078&isCofASearch=false
469,Active,16 272001 NNY 23 OZ,2016-12-30,"Redevelopment of site  with 6 new residential towers (21-27 storeys), 8-10 storey podiums with street related commercial on Sheppard Avenue West, extension of Bogert Avenue and a public park. Proposed demolition of seven of ten existing rental blocks and",325 BOGERT AVE,18,113698,2940,116638,1390,http://app.toronto.ca/AIC/index.do?folderRsn=UsUOuRWJIagD%2FX%2BhzCindw%3D%3D
470,Under Review,22 204260 STE 14 OZ,2022-09-15,Proposed to retain the existing heritage buildings and construct a nine storey residential building. The building will contain 85 new residential dwelling units with a GFA of about 7186sqm and retail at grade with a GFA of 807sqm. The total proposed GFA,641 QUEEN ST E,14,9084.6,0,9084.6,94,http://app.toronto.ca/AIC/index.do?folderRsn=IRnEyudm1Gy2ywcw9pKF0w%3D%3D
471,Active,16 271639 STE 27 OZ,2016-12-29,Proposal for a 10-storey building fronting onto Jarvis Street connected to a 25-storey tower fronting onto Mutual Street. A total of 256 residential units are proposed. There are existing heritage buildings on site that are proposed to be shifted and ine,280 JARVIS ST,13,16697,854,17551,256,http://app.toronto.ca/AIC/index.do?folderRsn=PcwNPCw3ICbSsaB1tOFTeQ%3D%3D
472,Under Review,22 191025 STE 09 SA,2022-08-15,"Site Plan application to allow for the construction of a new commercial office building. The proposed building will be 11 storeys (44.86 metres) in height, excluding the mechanical penthouse. The proposed gross floor area of the building is 16,736.56 squ",158 STERLING RD,9,0,16737,16737,0,http://app.toronto.ca/AIC/index.do?folderRsn=16Bm8EOBl60bBS6GdzO%2BUA%3D%3D
473,Under Review,22 204655 STE 10 OZ,2022-09-16,"Rezoning for a 41-storey mixed use building, comprising of a 6-storey podium, on top of which is a 35-storey tower. The proposed building will contain retail uses at-grade, along with office uses between the 2nd to 6th and 8th to 20th levels, office and",191 DUNDAS ST W,10,9693,14300,23993,135,http://app.toronto.ca/AIC/index.do?folderRsn=mCS12vKAw9E6iIyFMWYVlg%3D%3D
474,Under Review,22 204662 STE 11 OZ,2022-09-16,"Zoning By-law Amendment application to permit a  mixed-use building with 41-storey and 49-storey tower elements, containing 950 dwelling units and 18,000 square metres of non-residential gross floor area. The proposal includes heritage conservation on th",835 YONGE ST,11,77873.1,17663.7,95536.8,950,http://app.toronto.ca/AIC/index.do?folderRsn=Wc2I3e4DjangGTUBt2S36Q%3D%3D
475,Active,20 207354 STE 13 OZ,2020-10-16,An Official Plan Amendment and Zoning By-law Amendment application for a new 59-storey mixed-use building (196.9 metres including the mechanical penthouse) containing 575 dwelling units (including 19 rental replacement units) and 695 square metres of non,510 YONGE ST,13,39892,778,40670,587,http://app.toronto.ca/AIC/index.do?folderRsn=e96AsISWkhzFSfBM9XeRzA%3D%3D
476,Under Review,13 144733 STE 20 OZ,2013-04-04,"OLT Approved Application to Amend the Zoning By-law to permit the re-development of the site with a 50-storey (157 metre tall including the mechanical penthouse) mixed-use building containing retail, restaurant and office uses within the first 5 floors a",305 KING ST W,10,27613,3051,30664,403,http://app.toronto.ca/AIC/index.do?folderRsn=lR6esxfMRSkfrN%2FzVReIgw%3D%3D
477,Under Review,20 211336 ESC 20 SB,2020-10-27,Draft plan of subdivision to create 9 blocks and municipal streets comprising of one block for park uses and eight development blocks.,3585 ST CLAIR AVE E,20,489623,20482,510105,6619,http://app.toronto.ca/AIC/index.do?folderRsn=bd3D6%2F%2FqmInqLSSc4EjgRQ%3D%3D
478,Built,18 266532 NET 07 OZ,2018-12-10,"Zoning By-law Amendment for The Quad Student Housing, Phase 2.  Buildings C3 and C4.  Building C3:  proposed 9,603 square metres, 156 residential units, 599 square metres of grade-related retail.  The building is an ""L"" shaped building of 8 storeys.  Bui",4700 KEELE ST,7,25747,1238,26985,423,http://app.toronto.ca/AIC/index.do?folderRsn=V88%2FQda%2BJ%2B%2BJUFjIWm92Zw%3D%3D
479,Under Review,22 208395 ESC 20 SA,2022-09-25,,1891 EGLINTON AVE E,20,33894,475,34369,479,http://app.toronto.ca/AIC/index.do?folderRsn=vqmgGf6ObsxQWDONxBcd5Q%3D%3D
480,Under Review,22 208396 ESC 20 SA,2022-09-25,,1891 EGLINTON AVE E,20,29496,341,29837,431,http://app.toronto.ca/AIC/index.do?folderRsn=U2IR4eRQBj464Hc%2Fk9WNQA%3D%3D
481,Under Review,22 208399 ESC 20 SA,2022-09-26,,1891 EGLINTON AVE E,20,38019,0,38019,559,http://app.toronto.ca/AIC/index.do?folderRsn=Q0uV84mC73OgSEiDRL9L3Q%3D%3D
482,Under Review,21 191659 NNY 15 OZ,2021-07-29,"Zoning By Law Amendment Application to permit a 25-storey, mixed use building with 300 dwelling units, 20,974.8 square metres of residential gross floor area, 710 square metres of non-residential gross floor area, 97 parking spaces and 308 bicycle parkin",537 EGLINTON AVE E,15,20974.8,710,21684.8,300,http://app.toronto.ca/AIC/index.do?folderRsn=7twp1EirgQX5jH%2Fi5FrRXg%3D%3D
483,Under Review,21 235960 NNY 15 OZ,2021-11-09,"The proposal is for the redevelopment of the existing 6.7 acre site with a total density of 3.8 times the site area. The proposed includes 3,633 m2 of retail commercial space, a network of new public and private streets, two new privately-owned publicly",943 EGLINTON AVE E,15,100110,3633,103743,1279,http://app.toronto.ca/AIC/index.do?folderRsn=yaeDdwPDSF1Jodd7qVT03Q%3D%3D
484,Under Review,22 135860 ESC 20 OZ,2022-04-19,"Official Plan and Zoning Zoning By-law Amendment application to permit a 35-storey mixed-use building consisting of a total gross floor area of 20,218 square metres (18,975 square metres for residential uses, 328 square metres for retail uses and 915 squ",100 EGLINTON SQ,20,18975,1243,20218,296,http://app.toronto.ca/AIC/index.do?folderRsn=XXIOtiXuXPmOJg0czV4%2Bww%3D%3D
485,Built,16 140646 NNY 16 OZ,2016-04-14,7 storey residential building with at grade retail. Beer store would remain on site as tenant. Access to below grade parking and loading from Avenue Road. Residential lobby entrance from Bedford Park.,1580 AVENUE RD,8,7875,725,8600,35,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3932429&isCofASearch=false
