_id,Pipeline Status,Application Number,Date Received,Description,Address,Ward,Proposed Residential Gross Floor Area,Proposed Non-Residential Gross Floor Area,Proposed Gross Floor Area,Proposed Residential Units,Application Information Centre Link
1,Built,09 189714 STE 20 SA,2009-11-19,Site Plan approval for Phase 1 of CN Tower lands re development - for new entertainment complex containing 3 storey Ripleys Aquarium Phase 1 consists of easterly portion of lands and construction of southerly portion of 2 storey aquarium. Future phase 2,292 BREMNER BLVD,10,0,9846,9846,0,
2,Built,18 267198 ESC 24 SA,2018-12-11,"Condo Building B known as 30 Meadowglen Place.  File created as sub-folder to 13 199513 ESC 38 SA. Revised site plan application based on OMB Case No. PL131280 proposes the redevelopment of the site with 32 stacked townhouses, a 16 storey, 146 residentia",1-2 MEADOWGLEN PL,24,25762,483,26245,327,http://app.toronto.ca/AIC/index.do?folderRsn=pKf6n0PLhyateCPdOt0NXA%3D%3D
3,Active,17 266727 STE 21 OZ,2017-11-24,"Zoning By-Law Amendment to facilitate the conversion and expansion of existing , vacant building for the purpose of a single family dwelling unit by: severing and registering an easement over 598 Rushton Road to provide outdoor amenity space and servicin",596 R RUSHTON RD,12,221,0,221,1,http://app.toronto.ca/AIC/index.do?folderRsn=t8azL5CdVyfpI9wSo5ZMpA%3D%3D
4,Under Review,19 118245 STE 11 OZ,2019-02-22,"Zoning By-Law Amendment application to permit a 9-storey institutional building, containing 14,770 square metres of non-residential gross floor area. The proposal includes heritage conservation on the site.",78 QUEEN'S PARK,11,0,14768.77,14768.77,0,http://app.toronto.ca/AIC/index.do?folderRsn=3FdbGkCG4wk5NEqq31pKZQ%3D%3D
5,Built,13 132867 STE 20 SA,2013-03-14,"Proposed Site Plan application for a renovation and addition to the existing Flavelle House and Bora Laskin Library wing.  The proposed demolition of the current rotunda connection, partial demolition of the Bora Laskin Library wing and construction of a",78 QUEEN'S PARK,11,0,3275.3,3275.3,0,
6,Under Review,20 210389 NNY 17 SA,2020-10-23,"Site Plan application to permit the proposal for the South development consisting of two towers with proposed heights of 29 and 30 storeys connected by a single podiumn building for a total gross floor area of 65,670 square metres, 50,350 residential gro",2901 BAYVIEW AVE,17,50349.25,15316.22,65665.47,682,http://app.toronto.ca/AIC/index.do?folderRsn=rzOjXOHvMBZWOr61WvpILg%3D%3D
7,Built,11 250612 ESC 37 SA,2011-08-03,Site plan application for two 19-storey and one 17-storey condominium towers.  A total of 593 residential units are proposed (North Building: 227 units; West Building: 206 units; South Building: 160 units).  A total of 400 m2 of ground floor retail space,2150 LAWRENCE AVE E,21,47687.03,631.6,48318.63,586,
8,Active,14 248860 NNY 10 OZ,2014-11-06,"This rezoning application proposes a 10-storey, residential building, which has 2-storey townhouses at grade, and 4-storey, stacked, back-to-back townhouses along Greenwin Village Road.  The proposal also includes a 1-storey, 550 square metre retail buil",755 STEELES AVE W,18,11883,550,12433,152,http://app.toronto.ca/AIC/index.do?folderRsn=LtkyZGE%2B6UDj%2FazopjPERg%3D%3D
9,Built,10 309448 STE 20 OZ,2010-12-06,"Proposal to construct a 3 story rear addition to the existing building for a mental health and wellness centre, geared to seniors.",407 HURON ST,11,0,1018.4,1018.4,0,
10,Built,15 112180 NNY 24 OZ,2015-02-04,"Application to permit proposed 14-storey mixed-use building consisting of 542 square metre retail floor area at grade and 13,238 residential gross floor area.",3237 BAYVIEW AVE,17,12375,0,12375,151,
11,Built,15 267377 NNY 16 OZ,2015-12-21,Maintain the conversion of the existing one-storey mixed use building converted from residential to office/residential uses and to construct a two-storey addition atop the existing building in order to accommodate either a two-storey residential unit on,2100 AVENUE RD,8,0,171.62,171.62,0,
12,Built,04 150643 NNY 16 OZ,2004-06-25,"Propose a 4 storey podium along Yonge St. with a 17-19 storey apartment building with a density of 7.51FSI.  Revised proposal received on Nov. 24/05 to propose a 16 storey, 215 unit apartment building with FSI of 6.42.  Revised proposal on July 25, 2006",3018 YONGE ST,8,16775,200,16975,188,
13,Under Review,20 215681 ESC 22 OZ,2020-11-05,CLOSED - Refer to the new application:  24 106385 ESC 22 OZ    Development of a 4-storey residential building with 35 units and 41 vehicle parking spaces.,3175 SHEPPARD AVE E,22,4603.73,0,4603.73,35,http://app.toronto.ca/AIC/index.do?folderRsn=bGZWOvD3%2FN%2F5vPoVWQEVOQ%3D%3D
14,Built,14 259035 WET 11 SA,2014-12-02,"Proposed conversion of an existing industrial warehouse building to a fitness centre (L.A. Fitness) and grocery store (Organic Garage).  Vestibule additions will be added to the building along the north, east, and west facades.",43 JUNCTION RD,5,0,6426,6426,0,
15,Built,16 226496 WET 02 SA,2016-09-21,"The application proposes additions to the existing 3-storey self-storage building on the subject property. The additions comprise a 3-storey building and a 1-storey building having a gross floor area of 2,950 m2 and 250 m2, respectively. February 2, 2017",55 KELFIELD ST,1,0,4740,4740,0,http://app.toronto.ca/AIC/index.do?folderRsn=35xZMZ0hMRFKWEEUpXzadQ%3D%3D
16,Built,13 196243 ESC 44 OZ,2013-06-28,To permit a six (6) lot residential subdivision conisting of three (3) pairs of semi-detached dwellings on a 23 m public street.,67 KIRKDENE DR,25,1055.69,0,1055.69,6,
17,Under Review,19 186975 STE 19 OZ,2019-07-11,"Zoning By- Law Amendment Application to permit to permit a 10-storey mixed-use building, containing 60 rental dwelling units and 127 square metres of non-residential gross floor area.     This application is being reviewed and considered concurrently wit",1821 DANFORTH AVE,19,1877,74,1951,30,http://app.toronto.ca/AIC/index.do?folderRsn=0fCYLDauDIxKY8D3MGCxOA%3D%3D
18,Built,11 329885 STE 20 OZ,2011-12-22,Rezoning application to construct a mixed use development at 120 and 130 Harbour Street and 10 York Street.  The application is for a residential tower with a 4 storey podium and a proposed tower of approximately 65 storeys or 224 metres including mechan,130 HARBOUR ST,10,56462,218,56680,694,
19,Built,08 111649 NNY 26 OZ,2008-02-14,This application is to permit the development of two apartment buildings 28 and 30 storeys in height and 26 townhouses for a total of 639 units and an FSI of 4.35 on the site of an existing office building and surface parking lot.  The office building ha,1185 EGLINTON AVE E,16,50180,0,50180,655,
20,Built,13 159180 WET 01 SA,2013-04-30,To construct a Cultural Centre building (589 square metres) in connection with two existing buildings that are used as a Priest's residence at 2103 Codlin Crescent and a Place of Worship at 2107 Codlin Crescent.,2103 CODLIN CRES,1,0,203,203,0,
21,Built,16 269049 STE 22 OZ,2016-12-20,Proposal for rezoning related to 5 townhouse dwelling units,145 CHAPLIN CRES,12,1621.3,0,1621.3,5,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4082774&isCofASearch=false
22,Built,09 111145 STE 20 OZ,2009-02-20,Rezoning application for 30 storey mixed use apartment building with commercial at grade and second floor - commercial suites 4 - residential suites 183 - parking spaces 176 - 7 storeys of above grade parking - 1 type G loading space,200 BLOOR ST W,11,20049,8059,28108,204,
23,Built,17 226913 STE 20 OZ,2017-09-01,"This application proposes a principal three-storey detached residential building fronting Huron Street and two ancillary detached residential buildings, one at two-storeys and one at three-storeys, fronting the laneway at 366-370 Huron Street.  Each buil",368 HURON ST,11,421,0,421,3,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4238960&isCofASearch=false
24,Built,13 215423 STE 20 OZ,2013-08-02,"A Zoning Amendment application for a mixed-use development that includes a 14-storey office building adjoined by a 16-storey residential building.   The proposed development shall include new residential gross floor area of 10,288m2.  116 units proposed.",602 KING ST W,10,10061,24051,34112,115,
25,Built,15 249779 WET 06 SA,2015-11-10,Proposal for 14 grade-related townhouse units.,431 ROYAL YORK RD,3,1720,0,1720,14,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3856753&isCofASearch=false
26,Built,17 181649 ESC 44 OZ,2017-06-16,"Infill development of 8 freehold, detached dwellings accessed from a private driveway off Lawrence Ave E.  The private road and landscaped areas are to be owned by a condominium corporation (common element).",4342 LAWRENCE AVE E,25,2007.62,0,2007.62,8,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4186664&isCofASearch=false
27,Built,12 298398 NNY 24 OZ,2012-12-28,"Revised application proposes a mixed use development with building height of 6 to 10 storeys containing 186 dwelling units, 1,676 square metres of grade related retail space and second floor office space and 265 parking spaces in three levels of undergro",593 SHEPPARD AVE E,17,14697,2690,17387,201,
28,Active,15 213190 STE 30 OZ,2015-08-26,"The proposed development consists of eighteen (18) 4-storey townhouses comprising a total of 3,697 square metres on the subject site and a density of approximately 1.5 FSI. Each unit will contain three bedrooms and contain one parking space in an integra",395 LESLIE ST,14,2811,0,2811,10,http://app.toronto.ca/AIC/index.do?folderRsn=ZEL4YG2n9QB78KCNMlrWJQ%3D%3D
29,Under Review,20 170883 WET 03 SA,2020-07-22,"The proposed development consists of a 18,744 m2 new 12 storey office building.",181 THE WEST MALL,3,0,18745,18745,0,http://app.toronto.ca/AIC/index.do?folderRsn=1zDGb22maTLN7EsHTZ8eDw%3D%3D
30,Under Review,16 189275 STE 20 SA,2016-07-12,"Site Plan Application for a 10-storey mixed-use building with a restaurant at grade and 14 residential units above. The development does not include any vehicular parking, but includes 2 short-term and 13 long-term bicycle parking spaces. Associated vari",86 JOHN ST,10,1665,477,2142,14,http://app.toronto.ca/AIC/index.do?folderRsn=Ns7SA1uzTKI6bFy%2BixxhEg%3D%3D
31,Active,19 264170 STE 09 OZ,2019-12-23,"Offical Plan and Zoning By'law Amendments to facilitate redevelopment of the site with a 6-storey mixed-use building: 30 dwelling units, commercial and retail uses on ground floor, mezzanine and basement levels of the new building.",466 DOVERCOURT RD,9,2279,993,3272,30,http://app.toronto.ca/AIC/index.do?folderRsn=toB%2BkN5OygCNjVdBd5bcMw%3D%3D
32,Built,12 253035 WET 07 SA,2012-09-25,To convert the existing vacant industrial building into a place of worship and to construct a 98 square metre one-storey addition to the southwest corner of the building.,226 MILVAN DR,7,0,98,98,0,
33,Under Review,20 232602 ESC 22 SA,2020-12-21,Infill development comprising of additions to existing rental townhouse blocks for an additional 36 new stacked townhouse units.,2830 MIDLAND AVE,22,3012.5,0,3012.5,36,http://app.toronto.ca/AIC/index.do?folderRsn=VHqQKBCvQCGJZxVGwfIysA%3D%3D
34,Active,15 186678 NNY 24 OZ,2015-07-07,"January 29 resubmission: 21 freehold townhouses 3 storeys in height with a below grade shared/common element parking garage. OMB Decision dated January 5, 2017 (PL160059), but the final Order is pending the finalization of the site plan control applicati",3057 BAYVIEW AVE,17,5689.32,0,5689.32,21,http://app.toronto.ca/AIC/index.do?folderRsn=nG1bmKiP%2FeAcvo7WDX6kHw%3D%3D
35,Built,16 165265 STE 30 SA,2016-05-31,"Site Plan Approval for a new 5-storey, 14,975.5 square metre industrial self storage facility.  40 parking spaces are proposed to be provided.  Landscaping enhancements are proposed along Eastern and Booth Avenues.",459 EASTERN AVE,14,0,14975.5,14975.5,0,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3962060&isCofASearch=false
36,Under Review,20 233673 NNY 17 OZ,2020-12-23,"Official Plan and Zoning By Law Amendment application that proposes to build a new 14 storey mixed use building, with retail and residential uses. The development will have Gross floor area of 15,096 square metres. The relocation of the Thomas Clark Hous",589 SHEPPARD AVE E,17,14686,410,15096,160,http://app.toronto.ca/AIC/index.do?folderRsn=lD2rvzEhaH0ANYRx04sMuQ%3D%3D
37,Built,07 114857 STE 28 OZ,2007-03-09,DEVELOPMENT OF A 57- STOREY RESIDENTIAL BUILDING AND ARTSLAB CULTURAL COMPONENT.,1 FRONT ST E,13,46788,0,46788,591,
38,Built,11 326074 STE 22 OZ,2011-12-14,Rezoning application to permit the redevelopment of the lands for the purposes of a new mixed use building comprised of two residential towers 58 stories and  36 stories in height respectively connected by a 3 storey podium containing retail and office u,2263 YONGE ST,12,71855,5266,77121,1089,
39,Built,12 243614 NNY 24 OZ,2012-09-10,"The applicant has submitted an official plan amendment, zoning by-law amendment, plan of subdivision and site plan application for a 58 unit townhouse development consisting of 8 blocks.  Six of the blocks would front on to a new proposed  public road ha",238 FINCH AVE E,18,12502,0,12502,58,
40,Built,11 169962 STE 20 OZ,2011-04-08,Rezoning application to permit the lands municipally known as 124-128 Pears Ave to be used for the purposes of a new 11 storey mixed use building containing ground floor commercial area and 43 residential suites above.  Included in the proposal are 49 ve,124 PEARS AVE,11,5684,416,6100,43,
41,Active,04 137823 ESC 42 SA,2004-05-21,Industrial site plan for .24 hectare site.,2711 MARKHAM RD,23,0,1212.26,1212.26,0,
42,Built,18 110406 ESC 42 SA,2018-01-26,"Proposed 36,138 sq.m. one storey industrial building including 2,768 sq.m. of office space in a two-storey building in the south-west portion of the building, 38 loading spaces and 248 vehicle parking spaces.",1395 TAPSCOTT RD,23,0,36138,36138,0,http://app.toronto.ca/AIC/index.do?folderRsn=eJgosihItloxac4Km6fYDQ%3D%3D
43,Under Review,21 110243 STE 10 OZ,2021-01-29,"Phase 2 of the 215 Lake Shore Blvd E block.  The proposal is comprised of a 43-storey mixed-use building containing 844 residential dwelling units, of which, 110 are affordable housing units.  The proposal is comprised of 2728.7 square metres of non-resi",215 LAKE SHORE BLVD E,10,62116.7,2728.7,64845.4,844,http://app.toronto.ca/AIC/index.do?folderRsn=LqncXCV3H1WmJTQhtvnmnw%3D%3D
44,Active,14 255027 STE 27 SA,2014-11-21,To obtain site plan approval to construct a two-storey addition to the existing Manulife Centre which will be for retail purposes.,55 BLOOR ST W,11,0,3336,3336,0,http://app.toronto.ca/AIC/index.do?folderRsn=mY9HxdLNR8lDwvRxRfkW3w%3D%3D
45,Built,11 213852 STE 20 SA,2011-06-08,"Site plan approval for Phase 3 of development for a new 32 storey office building complete with retail at grade and 238 sub-surface parking spaces.  Connected to the residential ""Ice"" condominium buildings to the south.",16 YORK ST,10,0,74392,74392,0,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=2921167&isCofASearch=false
46,Built,13 101816 WET 13 OZ,2013-01-07,This address covers 51 - 77 Quebec  Avenue and 40 - 66 High Park Avenue. Propose to remove (2) blocks of townhouses and construct (2) new residential use only apartment buildingsof Bldg A and B and a (2) storey amenity block building. (2) existing reside,51 QUEBEC AVE,4,39300,0,39300,528,
47,Built,18 124934 WET 05 OZ,2018-03-05,Zoning By-law Amendment and lifting of the 'H' applications to replace the existing Distribution Centre at 25 Vickers Road on an expanded site with a new Distribution Centre incorporating 17 & 75 Vickers Road.,17 VICKERS RD,3,0,26428,26428,0,http://app.toronto.ca/AIC/index.do?folderRsn=%2FY%2F1zs2eArW9S9ZgfQ9U7g%3D%3D
48,Built,15 188411 NNY 08 SA,2015-07-10,"Proposal to obtain site plan approval for a two storey addition (2039.42 m2) at the northeast corner  and a five storey addition (5,620.33 m2) to the south of the existing Toronto Research Chemicals for to be used for labs, inventory and office uses.",2 BRISBANE RD,6,0,3750,3750,0,http://app.toronto.ca/AIC/index.do?folderRsn=a1YLWk%2Bt0U3IkVvQ1qaciQ%3D%3D
49,Under Review,20 227337 STE 12 SA,2020-12-09,"Site Plan Approval for Phase B of the site to permit a 6-storey rental apartment building containing 65 dwelling units, and having a gross floor area of 4960 square metres.",1996 BATHURST ST,12,4960,0,4960,65,http://app.toronto.ca/AIC/index.do?folderRsn=UQ%2BmUeQPkZPidEtEv57CsA%3D%3D
50,Built,13 108892 NNY 15 SA,2013-01-21,Proposal to convert existing warehouse to 1980.62 square meter office space with a floor space index of 0.49 times the lot area. Application also proposes to demolish a portion of the existing building (at rear) and reconfigure parking lot with surface s,2811 DUFFERIN ST,8,0,353.54,353.54,0,
51,Built,09 168632 STE 19 SA,2009-09-14,"Site plan approval to construct new 20 Storey residential condo apartment building contaning 262 units - 247 parking spaces - 8 levels below grade parking. - Block , committee of adjustment approval for additional density and provision for daycare space",19 WESTERN BATTERY RD,10,32647,690,33337,538,http://app.toronto.ca/AIC/index.do?folderRsn=nQXKDzeLYPK9Tzz53X%2B0Kg%3D%3D
52,Built,14 112972 STE 19 SA,2014-02-04,"Site Plan Control for 4 two-bedroom residential units with 4 parking spaces. This resubmission addresses comments from Toronto Buildings, and Urban Design.",243 NIAGARA ST,10,455.2,0,455.2,4,http://app.toronto.ca/AIC/index.do?folderRsn=SSLp4%2FWu4YUhhNfN9Hzurg%3D%3D
53,Active,17 108234 STE 19 SA,2017-01-24,"Site Plan Application for a 2 storey retail development at 1221 Dundas Street West. Minor Variance Application will be heard on the March 29th, 2017 agenda.",1221 DUNDAS ST W,10,0,491,491,0,http://app.toronto.ca/AIC/index.do?folderRsn=ApUEBm88xG1mU3rFxoZZ2Q%3D%3D
54,Active,14 141250 STE 28 SA,2014-04-10,Site plan application to permit the construction of a 3-storey addition to the existing 1-storey non-residential building.  The building would be used as a restaurant.,501-503 KING ST E,13,0,463.3,463.3,0,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3533234&isCofASearch=false
55,Active,16 109705 ESC 37 OZ,2016-01-28,"Proposed development of four separate blocks of vacant land southwest of Lawrence Avenue East and Midland Avenue. The proposal includes seven buildings ranging in height from 6 to 27 storeys, 1,462 dwelling units, 1,245 bicycle parking spaces and 1,953 v",1380 MIDLAND AVE,21,112557,39821,152378,1462,http://app.toronto.ca/AIC/index.do?folderRsn=96CEVWxTB%2F1KUmjGRK%2B5Sg%3D%3D
56,Built,20 158332 STE 09 SA,2020-06-19,Site Plan Approval application to facilitate the development of the site for a 3-storey affordable housing apartment building comprised of 2234 square metres of residential gross floor area and 44 dwelling units.,150 HARRISON ST,9,2234,0,2234,44,http://app.toronto.ca/AIC/index.do?folderRsn=Ke1%2FvOXPW95Z%2BcYfa%2Bwvsw%3D%3D
57,Active,18 178838 ESC 38 SA,2018-06-15,"To modify the existing two-storey hotel with a third-storey addition for the northwest wing with an area of 1,278 m2. The additional floor will comprise 30 new suites for a total of 163 suites of the hotel.",50 ESTATE DR,24,0,1277.5,1277.5,0,http://app.toronto.ca/AIC/index.do?folderRsn=O7CJB5Z2A0F%2BeIWmuWwd2A%3D%3D
58,Active,11 330299 NNY 15 OZ,2011-12-22,"Proposed development of a 9-storey (68 units) south addition, and a 10-storey (209 units) north addition with an 11th storey amenity pavilion, attached to the existing 19-storey apartment building. There would be a total of 502 units (existing and propos",3636 BATHURST ST,8,21077.51,645.36,21722.87,317,http://app.toronto.ca/AIC/index.do?folderRsn=IGhNgGRTPwFgh6eIx53vnA%3D%3D
59,Built,14 102961 ESC 44 SA,2014-01-10,Proposal for an addition to the process control building,51 BEECHGROVE DR,25,0,807,807,0,
60,Built,12 295181 WET 07 SA,2012-12-18,"Proposed development of an aggregate and vehicle storage, office and laboratory",91-97 ARROW RD,7,0,11395,11395,0,
61,Built,18 267836 WET 01 SA,2018-12-12,"Proposed 6,602 square metre building addition to accommodate an expansion of the data centre operation.  In addition to the building expansion, the site will include areas for outdoor mechanical equipment, areas for parking, a loading/delivery area and a",310 HUMBERLINE DR,1,0,6602,6602,0,http://app.toronto.ca/AIC/index.do?folderRsn=Aya%2FMayyWxV1WEnhRBbovw%3D%3D
62,Built,17 278270 NNY 34 SA,2017-12-21,Site Plan application to construct a four-storey addition to the north side of the existing two-storey self-storage building.,196 BARTLEY DR,16,0,3429.5,3429.5,0,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4299806&isCofASearch=false
63,Built,16 135323 WET 17 SA,2016-04-04,Proposal to construct a new 2-storey Library (Toronto Public Library Silverthorn Branch),1748 ST CLAIR AVE W,9,0,425,425,0,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3926071&isCofASearch=false
64,Built,11 229840 STE 20 SA,2011-06-29,Site Plan approval application to construct a new 1 storey building with 2 levels below grade. Proposal includes the reconstruction of the existing machine shop building above ground with a new Hydro Transformer Station below ground.  To be constructed o,255 BREMNER BLVD,10,0,9143,9143,0,
65,Built,11 288589 STE 28 SA,2011-10-06,"Proposal to construct a new 44 storey mixed use building on the lands complete with a 9 storey podium and tower above. Proposal  includes retail at grade, five below grade parking levels and 552 residential units.",12 BONNYCASTLE ST,10,43177,1066,44243,551,
66,Active,12 295537 WET 13 OZ,2012-12-18,"13-storey mixed-use building with 297 rental apartment units. The proposal has a total of 22,231.6 sq m, consisting of 1,784 sq m of non-residential uses and 20,447.6 sq m of residential use.",3775 DUNDAS ST W,4,20473,1576,22049,297,http://app.toronto.ca/AIC/index.do?folderRsn=bF2Y8ZHQhAAmQCU8xMoiBA%3D%3D
67,Built,17 267482 NNY 15 SA,2017-11-27,Site Plan application to construct a self storage facility,200 FAIRBANK AVE,8,0,22570.88,22570.88,0,http://app.toronto.ca/AIC/index.do?folderRsn=BWkzDuTXQMthRAKvmEqvbQ%3D%3D
68,Active,14 193205 WET 11 SA,2014-07-18,"Proposed revisions to a previous conditionally approved site plan application (02 035179 ATC 11 SA) to a change in types of units, aesthetics and general layout of a proposed 5-storey, 105-unit seniors apartment building.  The conditions related to the p",2 BUTTONWOOD AVE,5,5800,503,6303,105,
69,Built,16 104808 STE 28 SA,2016-01-15,"Block 26 (Phase 3):  Proposal 27-storey residential tower with a 6-storey podium, 343 residential units, retail at grade, 2 levels of underground parking with 212 parking spaces,",591 DUNDAS ST E,13,23530,941,24471,343,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3887602&isCofASearch=false
70,Built,15 118233 STE 30 OZ,2015-02-17,"Revised Proposal Submitted on December 22, 2015:875 Queen Lofts Inc. proposes to demolish the existing buildings at 875 and 887 Queen Street East (Woodgreen Church - St. Matthew's Cathedral and the Woodgreen Discount Drugs building, respectively), and to",875 QUEEN ST E,14,9294,3482,12776,122,
71,Built,17 241044 STE 27 OZ,2017-09-29,"Applications for Official Plan Amendment, Zoning By-law Amendment and Rental Housing  Demolition proposing the expansion and conversion of the first two storeys of an existing 18-  storey, 116 unit residential rental apartment building to permit a two-st",155 WELLESLEY ST E,13,0,2415,2415,0,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4255533&isCofASearch=false
72,Built,16 242851 ESC 39 SA,2016-10-26,Proposal for a commercial retail plaza development incorporating two buildings: one large format food retailer and a multi-unit retail/restaurant building.,2150 MCNICOLL AVE,22,0,9611.3,9611.3,0,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4051764&isCofASearch=false
73,Built,16 196569 NNY 24 SA,2016-07-25,"FULL SITE PLAN APPROVAL/NOAC ISSUANCE FOR BUILDINGS B AND C ONLY. Approval of a Master Site Plan as it pertains to buildings placement and site organization, and Site Plan Approval for Buildings B and C.  Buildings A, D, E, F, and G require individual Si",3125 STEELES AVE E,17,0,29214,29214,0,http://app.toronto.ca/AIC/index.do?folderRsn=qwQZrfivqQ%2BV2eDRc211aQ%3D%3D
74,Built,14 159612 NNY 08 OZ,2014-05-21,"Phase 1 proposes two 6-storey residential buildings buildings C1 and C2 with commercial uses at grade south-east of The Pond Road and Sentinel Road, south of the York University Campus Core on what is currently a parking lot.",4700 KEELE ST,7,25720,1238,26958,437,
75,Built,13 120056 WET 06 SA,2013-02-14,To construct new 3-storey Lake Shore Kipling Elementary School.,6 COLONEL SAMUEL SMITH PARK DR,3,0,5218,5218,0,
76,Built,09 142634 STE 20 OZ,2009-05-28,"Rezoning appplication to permit the vacant parcel of lands located on Block 31 of the Railway lands- being part 1 on Plan 66R 16838 to be rezoned for the purposes of a mixed use building containing 322 affordable housing units, 2 schools (TDSB and TDCSB)",20 BRUNEL CRT,10,0,14767.15,14767.15,0,
77,Built,14 159828 STE 27 OZ,2014-05-22,"Site Plan application, Official Plan and Zoning By-law Amendment applications have been submitted to permit a 37-storey mixed use building on Wellesley Street with ground floor retail; and semi-detached houses fronting Dundonald Street, with a row of tow",46 WELLESLEY ST E,13,26656,270,26926,377,
78,Built,12 115750 STE 20 OZ,2012-02-01,"Rezoning application for a new 49-storey mixed use building comprising retail/commercial at grade; commercial parking garage with 106 spaces on floors 2-4, 598 residential units above and 93 residential parking spaces on 3 levels below grade.",81 PETER ST,10,37440,5377,42817,630,
79,Built,15 245019 ESC 36 OZ,2015-10-30,"The proposal is for a 9 storey, 99 unit development with 8091GFA and FSI of 2.85  Parking is provided at 130 total vehicular spaces (105 tenant parking and 25 visitor), and 115 bicycle parking spaces.",3655 KINGSTON RD,24,8491.69,0,8491.69,99,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3851215&isCofASearch=false
80,Built,16 159202 NNY 16 SA,2016-05-20,Proposal to construct two additions (one to the Havergal Junior school and one to the Upper school).,1451 AVENUE RD,8,0,4381,4381,0,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3955275&isCofASearch=false
81,Built,15 193672 STE 28 SA,2015-07-20,"(Block 32) The proposed development is a mixed use development that consists of a 12 storey seniors building with retail and support services provided for at grade. The retail uses at grade are located along the Sumach Street frontage, across from the ne",591 DUNDAS ST E,13,23499,576,24075,332,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3790833&isCofASearch=false
82,Built,06 199913 STE 22 OZ,2006-12-28,"Proposed replacement of existing mixed-commercial units with a mixed-use development; retail at grade, residential units above (186 dwellings) of which 33 are for rental replacement purposes in a 8-storey building stepping to a 4 and 2 -storey podium bui",1985 YONGE ST,12,17023,1220,18243,219,
83,Under Review,20 151274 NNY 15 OZ,2020-06-02,Zoning By-law Amendment Application to permit a three storey (9.6 metre) residential building containing five 3-bed units on the north and east portions of the property. The existing two-storey heritage building on the site would be retained in its entir,2 VALLEYANNA DR,15,1687.06,0,1687.06,4,http://app.toronto.ca/AIC/index.do?folderRsn=IKw4ryc6Jd3SufHK1Ro%2BCQ%3D%3D
84,Active,18 210112 WET 07 SA,2018-08-15,Proposal to construct a new gas station,1900 WILSON AVE,7,0,168,168,0,http://app.toronto.ca/AIC/index.do?folderRsn=aX8zLGMDJWFRTYHAkLUK5w%3D%3D
85,Built,12 105496 ESC 44 OZ,2012-01-12,"Zoning By-law amendment to reduce the minimum lot frontage requirement from 21m to 15 m to enable the severance of the existing 5 lots into 12 new lots for single detached dwellings,  to allow for a reduced side yard building setback of 1.2 m on one side",1383 MILITARY TRL,25,3779.41,0,3779.41,12,
86,Built,16 109575 NNY 26 SA,2016-01-27,"The applicant proposes to construct a six-storey self-storage facility, having a gross floor area of 15,684 square metres and a height of 22.9 metres.  Fourteen parking spaces are proposed, one of which would be barrier-free.  Four bicycle parking spaces",19 ESANDAR DR,15,0,15609.78,15609.78,0,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3893360&isCofASearch=false
87,Built,18 150564 ESC 37 SA,2018-04-30,"To construct 21 three-storey townhouses at the rear of the property. The townhouses will have a height of 13.68 m and gross floor area of 2,498 m2. The existing six-storey rental apartment building containing 71 units will be maintained.",1255 BIRCHMOUNT RD,21,2498.35,0,2498.35,21,http://app.toronto.ca/AIC/index.do?folderRsn=3y4bcR6bXuNfbZ4wvsoWHQ%3D%3D
88,Active,18 258039 ESC 42 SA,2018-11-19,Development for a one industrial building with a total gross floor are of approximately 31 0000 square metres (95% industrial uses and 5% ancillary office uses).on vacant land.  The property is located at the northwest corner of Neilson Road/Morningisde,1730 NEILSON RD,23,0,30996,30996,0,http://app.toronto.ca/AIC/index.do?folderRsn=Ic08PvIvqg8Lk2nd2pEWPQ%3D%3D
89,Active,17 277147 NNY 16 OZ,2017-12-19,Proposed 13-storey mixed-use building with 85 residential units and at-grade retail. 87 underground parking spaces.,2908 YONGE ST,8,8138,421,8559,85,http://app.toronto.ca/AIC/index.do?folderRsn=RX2xNuDRSnP3gmqcFvW8Cg%3D%3D
